ID,ARK_ROLE_ID,ARK_MODULE_ID,ARK_FUNCTION_ID,ARK_PERMISSION_ID
366,19,6,63,1
367,19,6,63,2
368,19,6,63,3
369,19,6,63,4
370,20,6,63,2
371,2,1,10,2
372,2,1,10,1
373,2,1,10,3
374,10,5,18,1
375,10,5,18,2
376,10,5,18,3
377,10,5,18,4
378,10,5,19,1
379,10,5,19,2
380,10,5,19,3
381,10,5,19,4
382,10,5,20,1
383,10,5,20,2
384,10,5,20,3
408,4,2,25,2
420,5,2,25,2
432,6,2,25,2
444,7,2,25,2
456,8,2,25,2
468,13,2,25,2
480,13,2,25,2
492,8,2,25,2
504,7,2,25,2
516,4,2,25,2
528,5,2,25,2
540,6,2,25,2
552,18,2,25,2
585,4,2,25,2
597,5,2,25,2
609,6,2,25,2
613,2,1,1,1
614,2,1,1,2
615,2,1,1,3
